"TIME","GEO","SEX","WORKTIME","WSTATUS","NACE_R2","UNIT","Value","Flag and Footnotes"
"2018","Austria","Total","Total","Employed persons","Total - all NACE activities","Hour","36.5",""
"2018","Poland","Total","Total","Employed persons","Total - all NACE activities","Hour","40.4",""
"2018","Portugal","Total","Total","Employed persons","Total - all NACE activities","Hour","39.5",""
"2018","Romania","Total","Total","Employed persons","Total - all NACE activities","Hour","39.6",""
"2018","Slovenia","Total","Total","Employed persons","Total - all NACE activities","Hour","39.2",""
"2018","Slovakia","Total","Total","Employed persons","Total - all NACE activities","Hour","40.0",""
"2018","Finland","Total","Total","Employed persons","Total - all NACE activities","Hour","36.8",""
"2018","Sweden","Total","Total","Employed persons","Total - all NACE activities","Hour","36.4","b"
"2018","United Kingdom","Total","Total","Employed persons","Total - all NACE activities","Hour","36.5",""
"2018","Iceland","Total","Total","Employed persons","Total - all NACE activities","Hour","39.2",""
"2018","Norway","Total","Total","Employed persons","Total - all NACE activities","Hour","33.8",""
"2018","Switzerland","Total","Total","Employed persons","Total - all NACE activities","Hour","34.7",""
"2018","Montenegro","Total","Total","Employed persons","Total - all NACE activities","Hour","44.1",""
"2018","North Macedonia","Total","Total","Employed persons","Total - all NACE activities","Hour","42.3",""
"2018","Serbia","Total","Total","Employed persons","Total - all NACE activities","Hour","42.8",""
"2018","Turkey","Total","Total","Employed persons","Total - all NACE activities","Hour","45.7",""
